Posizione,Artista,Canzone,Anno,Popolarità,Decade,Posizione_Fascia,Anni_Dal_Rilascio
7.0,Marcella Bella,Montagne verdi,1972,43,1970,1-10,51
,Anna Identici,Era bello il mio ragazzo,1972,7,1970,,51
7.0,Roberto Vecchioni,L'uomo che si gioca il cielo a dadi,1973,25,1970,1-10,50
8.0,Fausto Leali,La bandiera di sole,1973,0,1970,1-10,50
,Franco Simone,Fiume grande,1974,33,1970,,49
3.0,Albatros,Volo AZ 504,1976,21,1970,1-10,47
,Leano Morelli,Io ti porterei,1977,7,1970,,46
2.0,Anna Oxa,Un'emozione da poco,1978,50,1970,1-10,45
3.0,Rino Gaetano,Gianna,1978,62,1970,1-10,45
,Vasco Rossi,Vado al massimo,1982,50,1980,,41
4.0,Matia Bazar,Vacanze romane,1983,50,1980,1-10,40
5.0,Toto Cutugno,L'italiano,1983,71,1980,1-10,40
5.0,Toto Cutugno,L'italiano,1983,71,1980,1-10,40
25.0,Vasco Rossi,Vita spericolata,1983,60,1980,21-30,40
,Amedeo Minghi,1950,1983,59,1980,,40
10.0,Patty Pravo,Per una bambola,1984,20,1980,1-10,39
20.0,Stadio,Allo stadio,1984,39,1980,11-20,39
2.0,Luis Miguel,"Noi, ragazzi di oggi",1985,49,1980,1-10,38
11.0,Marco Armani,Tu dimmi un cuore ce l'hai,1985,36,1980,11-20,38
18.0,Eugenio Finardi,Vorrei svegliarti,1985,10,1980,11-20,38
2.0,Renzo Arbore,Il clarinetto,1986,32,1980,1-10,37
4.0,Toto Cutugno,Azzurra malinconia,1986,29,1980,1-10,37
5.0,Anna Oxa,È tutto un attimo,1986,49,1980,1-10,37
14.0,Mango,Lei verrà,1986,52,1980,11-20,37
17.0,Enrico Ruggeri,Rien ne va plus,1986,19,1980,11-20,37
22.0,Stadio,Canzoni alla radio,1986,29,1980,21-30,37
18.0,Mango,Dal cuore in poi,1987,12,1980,11-20,36
21.0,Sergio Caputo,Il Garibaldi innamorato,1987,35,1980,21-30,36
3.0,Luca Barbarossa,L'amore rubato,1988,36,1980,1-10,35
7.0,Anna Oxa,Quando nasce un amore,1988,58,1980,1-10,35
11.0,Raf,Inevitabile follia,1988,43,1980,11-20,35
10.0,Ornella Vanoni,Io come farò,1989,14,1980,1-10,34
15.0,Raf,Cosa resterà degli anni '80,1989,53,1980,11-20,34
19.0,Rossana Casale,A che servono gli dei,1989,16,1980,11-20,34
21.0,Eduardo De Crescenzo,Come mi vuoi,1989,31,1980,21-30,34
4.0,Anna Oxa,Donna con te,1990,42,1990,1-10,33
9.0,Caterina Caselli,Bisognerebbe non pensare che a te,1990,16,1990,1-10,33
2.0,Renato Zero,Spalle al muro,1991,39,1990,1-10,32
3.0,Marco Masini,Perché lo fai,1991,42,1990,1-10,32
4.0,Umberto Tozzi,Gli altri siamo noi,1991,46,1990,1-10,32
10.0,Raf,Oggi un Dio non ho,1991,38,1990,1-10,32
2.0,Mia Martini,Gli uomini non cambiano,1992,54,1990,1-10,31
3.0,Paolo Vallesi,La forza della vita,1992,44,1990,1-10,31
1.0,Enrico Ruggeri,Mistero,1993,40,1990,1-10,30
8.0,Biagio Antonacci,Non so più a chi credere,1993,24,1990,1-10,30
2.0,Giorgio Faletti,Signor tenente,1994,38,1990,1-10,29
